Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
Total UK,Other years,Postgraduate (taught),Full-time,England,2016/17,13830
Total UK,Other years,Postgraduate (taught),Full-time,England,2017/18,16005
Total UK,Other years,Postgraduate (taught),Full-time,England,2018/19,17295
Total UK,Other years,Postgraduate (taught),Full-time,Northern Ireland,2014/15,615
Total UK,Other years,Postgraduate (taught),Full-time,Northern Ireland,2015/16,565
Total UK,Other years,Postgraduate (taught),Full-time,Northern Ireland,2016/17,540
Total UK,Other years,Postgraduate (taught),Full-time,Northern Ireland,2017/18,480
Total UK,Other years,Postgraduate (taught),Full-time,Northern Ireland,2018/19,495
Total UK,Other years,Postgraduate (taught),Full-time,Scotland,2014/15,1400
Total UK,Other years,Postgraduate (taught),Full-time,Scotland,2015/16,1555
Total UK,Other years,Postgraduate (taught),Full-time,Scotland,2016/17,1510
Total UK,Other years,Postgraduate (taught),Full-time,Scotland,2017/18,2095
Total UK,Other years,Postgraduate (taught),Full-time,Scotland,2018/19,2365
Total UK,Other years,Postgraduate (taught),Full-time,Wales,2014/15,800
Total UK,Other years,Postgraduate (taught),Full-time,Wales,2015/16,775
Total UK,Other years,Postgraduate (taught),Full-time,Wales,2016/17,790
Total UK,Other years,Postgraduate (taught),Full-time,Wales,2017/18,1000
Total UK,Other years,Postgraduate (taught),Full-time,Wales,2018/19,1420
Total UK,Other years,Postgraduate (taught),Part-time,All,2014/15,88590
Total UK,Other years,Postgraduate (taught),Part-time,All,2015/16,85600
Total UK,Other years,Postgraduate (taught),Part-time,All,2016/17,83140
Total UK,Other years,Postgraduate (taught),Part-time,All,2017/18,85650
Total UK,Other years,Postgraduate (taught),Part-time,All,2018/19,85130
Total UK,Other years,Postgraduate (taught),Part-time,England,2014/15,70785
Total UK,Other years,Postgraduate (taught),Part-time,England,2015/16,68705
Total UK,Other years,Postgraduate (taught),Part-time,England,2016/17,67250
Total UK,Other years,Postgraduate (taught),Part-time,England,2017/18,70195
Total UK,Other years,Postgraduate (taught),Part-time,England,2018/19,69480
Total UK,Other years,Postgraduate (taught),Part-time,Northern Ireland,2014/15,2440
Total UK,Other years,Postgraduate (taught),Part-time,Northern Ireland,2015/16,2175
Total UK,Other years,Postgraduate (taught),Part-time,Northern Ireland,2016/17,1930
Total UK,Other years,Postgraduate (taught),Part-time,Northern Ireland,2017/18,2000
Total UK,Other years,Postgraduate (taught),Part-time,Northern Ireland,2018/19,2360
Total UK,Other years,Postgraduate (taught),Part-time,Scotland,2014/15,10295
Total UK,Other years,Postgraduate (taught),Part-time,Scotland,2015/16,9615
Total UK,Other years,Postgraduate (taught),Part-time,Scotland,2016/17,9590
Total UK,Other years,Postgraduate (taught),Part-time,Scotland,2017/18,9290
Total UK,Other years,Postgraduate (taught),Part-time,Scotland,2018/19,9135
Total UK,Other years,Postgraduate (taught),Part-time,Wales,2014/15,5070
Total UK,Other years,Postgraduate (taught),Part-time,Wales,2015/16,5105
Total UK,Other years,Postgraduate (taught),Part-time,Wales,2016/17,4370
Total UK,Other years,Postgraduate (taught),Part-time,Wales,2017/18,4165
Total UK,Other years,Postgraduate (taught),Part-time,Wales,2018/19,4155
Total UK,All,All postgraduate,All,All,2014/15,333445
Total UK,All,All postgraduate,All,All,2015/16,332420
Total UK,All,All postgraduate,All,All,2016/17,355670
Total UK,All,All postgraduate,All,All,2017/18,363755
Total UK,All,All postgraduate,All,All,2018/19,368410
Total UK,All,All postgraduate,All,England,2014/15,274775
Total UK,All,All postgraduate,All,England,2015/16,274865
Total UK,All,All postgraduate,All,England,2016/17,295985
Total UK,All,All postgraduate,All,England,2017/18,300975
Total UK,All,All postgraduate,All,England,2018/19,303390
Total UK,All,All postgraduate,All,Northern Ireland,2014/15,8850
Total UK,All,All postgraduate,All,Northern Ireland,2015/16,8300
Total UK,All,All postgraduate,All,Northern Ireland,2016/17,8370
Total UK,All,All postgraduate,All,Northern Ireland,2017/18,8905
Total UK,All,All postgraduate,All,Northern Ireland,2018/19,9640
Total UK,All,All postgraduate,All,Scotland,2014/15,33330
Total UK,All,All postgraduate,All,Scotland,2015/16,33480
Total UK,All,All postgraduate,All,Scotland,2016/17,35135
Total UK,All,All postgraduate,All,Scotland,2017/18,36790
Total UK,All,All postgraduate,All,Scotland,2018/19,36880
Total UK,All,All postgraduate,All,Wales,2014/15,16485
Total UK,All,All postgraduate,All,Wales,2015/16,15775
Total UK,All,All postgraduate,All,Wales,2016/17,16180
Total UK,All,All postgraduate,All,Wales,2017/18,17085
Total UK,All,All postgraduate,All,Wales,2018/19,18500
Total UK,All,All postgraduate,Full-time,All,2014/15,128305
Total UK,All,All postgraduate,Full-time,All,2015/16,130725
Total UK,All,All postgraduate,Full-time,All,2016/17,149800
Total UK,All,All postgraduate,Full-time,All,2017/18,159135
Total UK,All,All postgraduate,Full-time,All,2018/19,162310
Total UK,All,All postgraduate,Full-time,England,2014/15,105910
Total UK,All,All postgraduate,Full-time,England,2015/16,107870
Total UK,All,All postgraduate,Full-time,England,2016/17,124765
Total UK,All,All postgraduate,Full-time,England,2017/18,130915
Total UK,All,All postgraduate,Full-time,England,2018/19,132945
Total UK,All,All postgraduate,Full-time,Northern Ireland,2014/15,3205
Total UK,All,All postgraduate,Full-time,Northern Ireland,2015/16,3200
Total UK,All,All postgraduate,Full-time,Northern Ireland,2016/17,3250
Total UK,All,All postgraduate,Full-time,Northern Ireland,2017/18,3710
Total UK,All,All postgraduate,Full-time,Northern Ireland,2018/19,3710
Total UK,All,All postgraduate,Full-time,Scotland,2014/15,13315
Total UK,All,All postgraduate,Full-time,Scotland,2015/16,14000
Total UK,All,All postgraduate,Full-time,Scotland,2016/17,15430
Total UK,All,All postgraduate,Full-time,Scotland,2017/18,17125
Total UK,All,All postgraduate,Full-time,Scotland,2018/19,17380
Total UK,All,All postgraduate,Full-time,Wales,2014/15,5880
Total UK,All,All postgraduate,Full-time,Wales,2015/16,5655
Total UK,All,All postgraduate,Full-time,Wales,2016/17,6355
Total UK,All,All postgraduate,Full-time,Wales,2017/18,7390
Total UK,All,All postgraduate,Full-time,Wales,2018/19,8275
Total UK,All,All postgraduate,Part-time,All,2014/15,205135
Total UK,All,All postgraduate,Part-time,All,2015/16,201695
Total UK,All,All postgraduate,Part-time,All,2016/17,205870
Total UK,All,All postgraduate,Part-time,All,2017/18,204620
Total UK,All,All postgraduate,Part-time,All,2018/19,206100
Total UK,All,All postgraduate,Part-time,England,2014/15,168860
Total UK,All,All postgraduate,Part-time,England,2015/16,166995
Total UK,All,All postgraduate,Part-time,England,2016/17,171220
Total UK,All,All postgraduate,Part-time,England,2017/18,170065
Total UK,All,All postgraduate,Part-time,England,2018/19,170445
Total UK,All,All postgraduate,Part-time,Northern Ireland,2014/15,5650
Total UK,All,All postgraduate,Part-time,Northern Ireland,2015/16,5100
Total UK,All,All postgraduate,Part-time,Northern Ireland,2016/17,5120
Total UK,All,All postgraduate,Part-time,Northern Ireland,2017/18,5195
Total UK,All,All postgraduate,Part-time,Northern Ireland,2018/19,5930
Total UK,All,All postgraduate,Part-time,Scotland,2014/15,20020
Total UK,All,All postgraduate,Part-time,Scotland,2015/16,19480
Total UK,All,All postgraduate,Part-time,Scotland,2016/17,19705
Total UK,All,All postgraduate,Part-time,Scotland,2017/18,19665
Total UK,All,All postgraduate,Part-time,Scotland,2018/19,19500
Total UK,All,All postgraduate,Part-time,Wales,2014/15,10610
Total UK,All,All postgraduate,Part-time,Wales,2015/16,10125
Total UK,All,All postgraduate,Part-time,Wales,2016/17,9825
Total UK,All,All postgraduate,Part-time,Wales,2017/18,9695
Total UK,All,All postgraduate,Part-time,Wales,2018/19,10225
Total UK,First year,All postgraduate,All,All,2014/15,184985
Total UK,First year,All postgraduate,All,All,2015/16,187075
Total UK,First year,All postgraduate,All,All,2016/17,210955
Total UK,First year,All postgraduate,All,All,2017/18,213860
Total UK,First year,All postgraduate,All,All,2018/19,216650
Total UK,First year,All postgraduate,All,England,2014/15,154375
Total UK,First year,All postgraduate,All,England,2015/16,156820
Total UK,First year,All postgraduate,All,England,2016/17,177710
Total UK,First year,All postgraduate,All,England,2017/18,177840
Total UK,First year,All postgraduate,All,England,2018/19,179385
Total UK,First year,All postgraduate,All,Northern Ireland,2014/15,4770
Total UK,First year,All postgraduate,All,Northern Ireland,2015/16,4460
Total UK,First year,All postgraduate,All,Northern Ireland,2016/17,4825
Total UK,First year,All postgraduate,All,Northern Ireland,2017/18,5375
Total UK,First year,All postgraduate,All,Northern Ireland,2018/19,5730
Total UK,First year,All postgraduate,All,Scotland,2014/15,17020
Total UK,First year,All postgraduate,All,Scotland,2015/16,17595
Total UK,First year,All postgraduate,All,Scotland,2016/17,19215
Total UK,First year,All postgraduate,All,Scotland,2017/18,20610
Total UK,First year,All postgraduate,All,Scotland,2018/19,20555
Total UK,First year,All postgraduate,All,Wales,2014/15,8820
Total UK,First year,All postgraduate,All,Wales,2015/16,8205
Total UK,First year,All postgraduate,All,Wales,2016/17,9205
Total UK,First year,All postgraduate,All,Wales,2017/18,10035
Total UK,First year,All postgraduate,All,Wales,2018/19,10980
Total UK,First year,All postgraduate,Full-time,All,2014/15,86505
Total UK,First year,All postgraduate,Full-time,All,2015/16,88635
Total UK,First year,All postgraduate,Full-time,All,2016/17,105930
Total UK,First year,All postgraduate,Full-time,All,2017/18,112410
Total UK,First year,All postgraduate,Full-time,All,2018/19,112960
Total UK,First year,All postgraduate,Full-time,England,2014/15,71840
Total UK,First year,All postgraduate,Full-time,England,2015/16,73685
Total UK,First year,All postgraduate,Full-time,England,2016/17,88885
Total UK,First year,All postgraduate,Full-time,England,2017/18,92960
Total UK,First year,All postgraduate,Full-time,England,2018/19,93220
Total UK,First year,All postgraduate,Full-time,Northern Ireland,2014/15,1890
Total UK,First year,All postgraduate,Full-time,Northern Ireland,2015/16,1845
Total UK,First year,All postgraduate,Full-time,Northern Ireland,2016/17,1955
Total UK,First year,All postgraduate,Full-time,Northern Ireland,2017/18,2475
Total UK,First year,All postgraduate,Full-time,Northern Ireland,2018/19,2455
Total UK,First year,All postgraduate,Full-time,Scotland,2014/15,8750
Total UK,First year,All postgraduate,Full-time,Scotland,2015/16,9260
Total UK,First year,All postgraduate,Full-time,Scotland,2016/17,10695
Total UK,First year,All postgraduate,Full-time,Scotland,2017/18,11790
Total UK,First year,All postgraduate,Full-time,Scotland,2018/19,11695
Total UK,First year,All postgraduate,Full-time,Wales,2014/15,4020
Total UK,First year,All postgraduate,Full-time,Wales,2015/16,3845
Total UK,First year,All postgraduate,Full-time,Wales,2016/17,4395
Total UK,First year,All postgraduate,Full-time,Wales,2017/18,5185
Total UK,First year,All postgraduate,Full-time,Wales,2018/19,5590
Total UK,First year,All postgraduate,Part-time,All,2014/15,98485
Total UK,First year,All postgraduate,Part-time,All,2015/16,98440
Total UK,First year,All postgraduate,Part-time,All,2016/17,105025
Total UK,First year,All postgraduate,Part-time,All,2017/18,101450
Total UK,First year,All postgraduate,Part-time,All,2018/19,103690
Total UK,First year,All postgraduate,Part-time,England,2014/15,82535
Total UK,First year,All postgraduate,Part-time,England,2015/16,83130
Total UK,First year,All postgraduate,Part-time,England,2016/17,88825
Total UK,First year,All postgraduate,Part-time,England,2017/18,84880
Total UK,First year,All postgraduate,Part-time,England,2018/19,86165
Total UK,First year,All postgraduate,Part-time,Northern Ireland,2014/15,2880
Total UK,First year,All postgraduate,Part-time,Northern Ireland,2015/16,2615
Total UK,First year,All postgraduate,Part-time,Northern Ireland,2016/17,2870
Total UK,First year,All postgraduate,Part-time,Northern Ireland,2017/18,2900
Total UK,First year,All postgraduate,Part-time,Northern Ireland,2018/19,3275
Total UK,First year,All postgraduate,Part-time,Scotland,2014/15,8270
Total UK,First year,All postgraduate,Part-time,Scotland,2015/16,8335
Total UK,First year,All postgraduate,Part-time,Scotland,2016/17,8520
Total UK,First year,All postgraduate,Part-time,Scotland,2017/18,8820
Total UK,First year,All postgraduate,Part-time,Scotland,2018/19,8860
Total UK,First year,All postgraduate,Part-time,Wales,2014/15,4795
Total UK,First year,All postgraduate,Part-time,Wales,2015/16,4360
Total UK,First year,All postgraduate,Part-time,Wales,2016/17,4810
Total UK,First year,All postgraduate,Part-time,Wales,2017/18,4850
Total UK,First year,All postgraduate,Part-time,Wales,2018/19,5390
Total UK,Other years,All postgraduate,All,All,2014/15,148455
Total UK,Other years,All postgraduate,All,All,2015/16,145345
Total UK,Other years,All postgraduate,All,All,2016/17,144715
Total UK,Other years,All postgraduate,All,All,2017/18,149890
Total UK,Other years,All postgraduate,All,All,2018/19,151760
Total UK,Other years,All postgraduate,All,England,2014/15,120395
Total UK,Other years,All postgraduate,All,England,2015/16,118050
Total UK,Other years,All postgraduate,All,England,2016/17,118275
Total UK,Other years,All postgraduate,All,England,2017/18,123135
Total UK,Other years,All postgraduate,All,England,2018/19,124005
Total UK,Other years,All postgraduate,All,Northern Ireland,2014/15,4080
Total UK,Other years,All postgraduate,All,Northern Ireland,2015/16,3840
Total UK,Other years,All postgraduate,All,Northern Ireland,2016/17,3545
Total UK,Other years,All postgraduate,All,Northern Ireland,2017/18,3530
Total UK,Other years,All postgraduate,All,Northern Ireland,2018/19,3910
Total UK,Other years,All postgraduate,All,Scotland,2014/15,16315
Total UK,Other years,All postgraduate,All,Scotland,2015/16,15885
Total UK,Other years,All postgraduate,All,Scotland,2016/17,15920
Total UK,Other years,All postgraduate,All,Scotland,2017/18,16180
Total UK,Other years,All postgraduate,All,Scotland,2018/19,16330
Total UK,Other years,All postgraduate,All,Wales,2014/15,7670
Total UK,Other years,All postgraduate,All,Wales,2015/16,7570
Total UK,Other years,All postgraduate,All,Wales,2016/17,6975
Total UK,Other years,All postgraduate,All,Wales,2017/18,7045
Total UK,Other years,All postgraduate,All,Wales,2018/19,7520
Total UK,Other years,All postgraduate,Full-time,All,2014/15,41805
Total UK,Other years,All postgraduate,Full-time,All,2015/16,42085
Total UK,Other years,All postgraduate,Full-time,All,2016/17,43870
Total UK,Other years,All postgraduate,Full-time,All,2017/18,46725
Total UK,Other years,All postgraduate,Full-time,All,2018/19,49345
Total UK,Other years,All postgraduate,Full-time,England,2014/15,34070
Total UK,Other years,All postgraduate,Full-time,England,2015/16,34185
Total UK,Other years,All postgraduate,Full-time,England,2016/17,35880
Total UK,Other years,All postgraduate,Full-time,England,2017/18,37955
Total UK,Other years,All postgraduate,Full-time,England,2018/19,39725
Total UK,Other years,All postgraduate,Full-time,Northern Ireland,2014/15,1315
Total UK,Other years,All postgraduate,Full-time,Northern Ireland,2015/16,1355
Total UK,Other years,All postgraduate,Full-time,Northern Ireland,2016/17,1295
Total UK,Other years,All postgraduate,Full-time,Northern Ireland,2017/18,1235
Total UK,Other years,All postgraduate,Full-time,Northern Ireland,2018/19,1255
Total UK,Other years,All postgraduate,Full-time,Scotland,2014/15,4565
Total UK,Other years,All postgraduate,Full-time,Scotland,2015/16,4740
Total UK,Other years,All postgraduate,Full-time,Scotland,2016/17,4735
Total UK,Other years,All postgraduate,Full-time,Scotland,2017/18,5335
Total UK,Other years,All postgraduate,Full-time,Scotland,2018/19,5685
Total UK,Other years,All postgraduate,Full-time,Wales,2014/15,1855
Total UK,Other years,All postgraduate,Full-time,Wales,2015/16,1810
Total UK,Other years,All postgraduate,Full-time,Wales,2016/17,1960
Total UK,Other years,All postgraduate,Full-time,Wales,2017/18,2200
Total UK,Other years,All postgraduate,Full-time,Wales,2018/19,2680
Total UK,Other years,All postgraduate,Part-time,All,2014/15,106650
Total UK,Other years,All postgraduate,Part-time,All,2015/16,103260
Total UK,Other years,All postgraduate,Part-time,All,2016/17,100845
Total UK,Other years,All postgraduate,Part-time,All,2017/18,103165
Total UK,Other years,All postgraduate,Part-time,All,2018/19,102415
Total UK,Other years,All postgraduate,Part-time,England,2014/15,86325
Total UK,Other years,All postgraduate,Part-time,England,2015/16,83865
Total UK,Other years,All postgraduate,Part-time,England,2016/17,82395
Total UK,Other years,All postgraduate,Part-time,England,2017/18,85185
Total UK,Other years,All postgraduate,Part-time,England,2018/19,84280
Total UK,Other years,All postgraduate,Part-time,Northern Ireland,2014/15,2765
Total UK,Other years,All postgraduate,Part-time,Northern Ireland,2015/16,2485
Total UK,Other years,All postgraduate,Part-time,Northern Ireland,2016/17,2250
Total UK,Other years,All postgraduate,Part-time,Northern Ireland,2017/18,2295
Total UK,Other years,All postgraduate,Part-time,Northern Ireland,2018/19,2660
Total UK,Other years,All postgraduate,Part-time,Scotland,2014/15,11750
Total UK,Other years,All postgraduate,Part-time,Scotland,2015/16,11145
Total UK,Other years,All postgraduate,Part-time,Scotland,2016/17,11185
Total UK,Other years,All postgraduate,Part-time,Scotland,2017/18,10845
Total UK,Other years,All postgraduate,Part-time,Scotland,2018/19,10640
Total UK,Other years,All postgraduate,Part-time,Wales,2014/15,5810
Total UK,Other years,All postgraduate,Part-time,Wales,2015/16,5765
Total UK,Other years,All postgraduate,Part-time,Wales,2016/17,5015
Total UK,Other years,All postgraduate,Part-time,Wales,2017/18,4845
Total UK,Other years,All postgraduate,Part-time,Wales,2018/19,4835
Total UK,All,First degree,All,All,2014/15,1311405
Total UK,All,First degree,All,All,2015/16,1342990
Total UK,All,First degree,All,All,2016/17,1367510
Total UK,All,First degree,All,All,2017/18,1382490
Total UK,All,First degree,All,All,2018/19,1401115
Total UK,All,First degree,All,England,2014/15,1076120
Total UK,All,First degree,All,England,2015/16,1103910
Total UK,All,First degree,All,England,2016/17,1124585
Total UK,All,First degree,All,England,2017/18,1137050
Total UK,All,First degree,All,England,2018/19,1151150
Total UK,All,First degree,All,Northern Ireland,2014/15,35955
Total UK,All,First degree,All,Northern Ireland,2015/16,35850
Total UK,All,First degree,All,Northern Ireland,2016/17,35570
Total UK,All,First degree,All,Northern Ireland,2017/18,34940
Total UK,All,First degree,All,Northern Ireland,2018/19,35220
Total UK,All,First degree,All,Scotland,2014/15,128710
Total UK,All,First degree,All,Scotland,2015/16,132250
Total UK,All,First degree,All,Scotland,2016/17,134905
Total UK,All,First degree,All,Scotland,2017/18,138115
Total UK,All,First degree,All,Scotland,2018/19,140550
Total UK,All,First degree,All,Wales,2014/15,70625
Total UK,All,First degree,All,Wales,2015/16,70985
Total UK,All,First degree,All,Wales,2016/17,72450
Total UK,All,First degree,All,Wales,2017/18,72380
Total UK,All,First degree,All,Wales,2018/19,74195
Total UK,All,First degree,Full-time,All,2014/15,1133520
Total UK,All,First degree,Full-time,All,2015/16,1173035
Total UK,All,First degree,Full-time,All,2016/17,1204570
Total UK,All,First degree,Full-time,All,2017/18,1223465
Total UK,All,First degree,Full-time,All,2018/19,1234180
Total UK,All,First degree,Full-time,England,2014/15,929040
Total UK,All,First degree,Full-time,England,2015/16,965025
Total UK,All,First degree,Full-time,England,2016/17,993460
Total UK,All,First degree,Full-time,England,2017/18,1010520
Total UK,All,First degree,Full-time,England,2018/19,1019655
Total UK,All,First degree,Full-time,Northern Ireland,2014/15,30495
Total UK,All,First degree,Full-time,Northern Ireland,2015/16,30150
Total UK,All,First degree,Full-time,Northern Ireland,2016/17,30165
Total UK,All,First degree,Full-time,Northern Ireland,2017/18,29595
Total UK,All,First degree,Full-time,Northern Ireland,2018/19,29230
Total UK,All,First degree,Full-time,Scotland,2014/15,112105
Total UK,All,First degree,Full-time,Scotland,2015/16,114875
Total UK,All,First degree,Full-time,Scotland,2016/17,116490
Total UK,All,First degree,Full-time,Scotland,2017/18,118860
Total UK,All,First degree,Full-time,Scotland,2018/19,120480
Total UK,All,First degree,Full-time,Wales,2014/15,61880
Total UK,All,First degree,Full-time,Wales,2015/16,62990
Total UK,All,First degree,Full-time,Wales,2016/17,64460
Total UK,All,First degree,Full-time,Wales,2017/18,64490
Total UK,All,First degree,Full-time,Wales,2018/19,64815
Total UK,All,First degree,Part-time,All,2014/15,177880
Total UK,All,First degree,Part-time,All,2015/16,169955
Total UK,All,First degree,Part-time,All,2016/17,162940
Total UK,All,First degree,Part-time,All,2017/18,159025
Total UK,All,First degree,Part-time,All,2018/19,166930
Total UK,All,First degree,Part-time,England,2014/15,147080
Total UK,All,First degree,Part-time,England,2015/16,138885
Total UK,All,First degree,Part-time,England,2016/17,131125
Total UK,All,First degree,Part-time,England,2017/18,126535
Total UK,All,First degree,Part-time,England,2018/19,131495
Total UK,All,First degree,Part-time,Northern Ireland,2014/15,5460
Total UK,All,First degree,Part-time,Northern Ireland,2015/16,5700
Total UK,All,First degree,Part-time,Northern Ireland,2016/17,5405
Total UK,All,First degree,Part-time,Northern Ireland,2017/18,5350
Total UK,All,First degree,Part-time,Northern Ireland,2018/19,5990
Total UK,All,First degree,Part-time,Scotland,2014/15,16605
Total UK,All,First degree,Part-time,Scotland,2015/16,17375
Total UK,All,First degree,Part-time,Scotland,2016/17,18415
Total UK,All,First degree,Part-time,Scotland,2017/18,19255
Total UK,All,First degree,Part-time,Scotland,2018/19,20070
Total UK,All,First degree,Part-time,Wales,2014/15,8740
Total UK,All,First degree,Part-time,Wales,2015/16,7995
Total UK,All,First degree,Part-time,Wales,2016/17,7995
Total UK,All,First degree,Part-time,Wales,2017/18,7890
Total UK,All,First degree,Part-time,Wales,2018/19,9375
Total UK,First year,First degree,All,All,2014/15,444755
Total UK,First year,First degree,All,All,2015/16,458005
Total UK,First year,First degree,All,All,2016/17,461500
Total UK,First year,First degree,All,All,2017/18,466005
Total UK,First year,First degree,All,All,2018/19,472795
Total UK,First year,First degree,All,England,2014/15,369570
Total UK,First year,First degree,All,England,2015/16,383305
Total UK,First year,First degree,All,England,2016/17,385125
Total UK,First year,First degree,All,England,2017/18,387975
Total UK,First year,First degree,All,England,2018/19,393180
Total UK,First year,First degree,All,Northern Ireland,2014/15,11745
Total UK,First year,First degree,All,Northern Ireland,2015/16,10760
Total UK,First year,First degree,All,Northern Ireland,2016/17,10950
Total UK,First year,First degree,All,Northern Ireland,2017/18,10855
Total UK,First year,First degree,All,Northern Ireland,2018/19,10770
Total UK,First year,First degree,All,Scotland,2014/15,39430
Total UK,First year,First degree,All,Scotland,2015/16,40485
Total UK,First year,First degree,All,Scotland,2016/17,41165
Total UK,First year,First degree,All,Scotland,2017/18,42935
Total UK,First year,First degree,All,Scotland,2018/19,43430
Total UK,First year,First degree,All,Wales,2014/15,24010
Total UK,First year,First degree,All,Wales,2015/16,23450
Total UK,First year,First degree,All,Wales,2016/17,24260
Total UK,First year,First degree,All,Wales,2017/18,24240
Total UK,First year,First degree,All,Wales,2018/19,25420
Total UK,First year,First degree,Full-time,All,2014/15,399095
Total UK,First year,First degree,Full-time,All,2015/16,411315
Total UK,First year,First degree,Full-time,All,2016/17,417560
Total UK,First year,First degree,Full-time,All,2017/18,417975
Total UK,First year,First degree,Full-time,All,2018/19,420795
Total UK,First year,First degree,Full-time,England,2014/15,333295
Total UK,First year,First degree,Full-time,England,2015/16,346940
Total UK,First year,First degree,Full-time,England,2016/17,351570
Total UK,First year,First degree,Full-time,England,2017/18,351225
Total UK,First year,First degree,Full-time,England,2018/19,353565
Total UK,First year,First degree,Full-time,Northern Ireland,2014/15,10170
Total UK,First year,First degree,Full-time,Northern Ireland,2015/16,8780
Total UK,First year,First degree,Full-time,Northern Ireland,2016/17,9390
Total UK,First year,First degree,Full-time,Northern Ireland,2017/18,9120
Total UK,First year,First degree,Full-time,Northern Ireland,2018/19,8890
Total UK,First year,First degree,Full-time,Scotland,2014/15,34190
Total UK,First year,First degree,Full-time,Scotland,2015/16,34455
Total UK,First year,First degree,Full-time,Scotland,2016/17,34705
Total UK,First year,First degree,Full-time,Scotland,2017/18,35890
Total UK,First year,First degree,Full-time,Scotland,2018/19,36565
Total UK,First year,First degree,Full-time,Wales,2014/15,21440
Total UK,First year,First degree,Full-time,Wales,2015/16,21140
Total UK,First year,First degree,Full-time,Wales,2016/17,21900
Total UK,First year,First degree,Full-time,Wales,2017/18,21740
Total UK,First year,First degree,Full-time,Wales,2018/19,21780
Total UK,First year,First degree,Part-time,All,2014/15,45660
Total UK,First year,First degree,Part-time,All,2015/16,46685
Total UK,First year,First degree,Part-time,All,2016/17,43940
Total UK,First year,First degree,Part-time,All,2017/18,48030
Total UK,First year,First degree,Part-time,All,2018/19,52000
Total UK,First year,First degree,Part-time,England,2014/15,36275
Total UK,First year,First degree,Part-time,England,2015/16,36365
Total UK,First year,First degree,Part-time,England,2016/17,33560
Total UK,First year,First degree,Part-time,England,2017/18,36750
Total UK,First year,First degree,Part-time,England,2018/19,39615
Total UK,First year,First degree,Part-time,Northern Ireland,2014/15,1575
Total UK,First year,First degree,Part-time,Northern Ireland,2015/16,1980
Total UK,First year,First degree,Part-time,Northern Ireland,2016/17,1560
Total UK,First year,First degree,Part-time,Northern Ireland,2017/18,1735
Total UK,First year,First degree,Part-time,Northern Ireland,2018/19,1880
Total UK,First year,First degree,Part-time,Scotland,2014/15,5235
Total UK,First year,First degree,Part-time,Scotland,2015/16,6030
Total UK,First year,First degree,Part-time,Scotland,2016/17,6460
Total UK,First year,First degree,Part-time,Scotland,2017/18,7045
Total UK,First year,First degree,Part-time,Scotland,2018/19,6865
Total UK,First year,First degree,Part-time,Wales,2014/15,2575
Total UK,First year,First degree,Part-time,Wales,2015/16,2310
Total UK,First year,First degree,Part-time,Wales,2016/17,2365
Total UK,First year,First degree,Part-time,Wales,2017/18,2500
Total UK,First year,First degree,Part-time,Wales,2018/19,3640
Total UK,Other years,First degree,All,All,2014/15,866650
Total UK,Other years,First degree,All,All,2015/16,884990
Total UK,Other years,First degree,All,All,2016/17,906010
Total UK,Other years,First degree,All,All,2017/18,916485
Total UK,Other years,First degree,All,All,2018/19,928315
Total UK,Other years,First degree,All,England,2014/15,706545
Total UK,Other years,First degree,All,England,2015/16,720605
Total UK,Other years,First degree,All,England,2016/17,739460
Total UK,Other years,First degree,All,England,2017/18,749075
Total UK,Other years,First degree,All,England,2018/19,757970
Total UK,Other years,First degree,All,Northern Ireland,2014/15,24210
Total UK,Other years,First degree,All,Northern Ireland,2015/16,25090
Total UK,Other years,First degree,All,Northern Ireland,2016/17,24620
Total UK,Other years,First degree,All,Northern Ireland,2017/18,24085
Total UK,Other years,First degree,All,Northern Ireland,2018/19,24450
Total UK,Other years,First degree,All,Scotland,2014/15,89280
Total UK,Other years,First degree,All,Scotland,2015/16,91760
Total UK,Other years,First degree,All,Scotland,2016/17,93740
Total UK,Other years,First degree,All,Scotland,2017/18,95180
Total UK,Other years,First degree,All,Scotland,2018/19,97120
Total UK,Other years,First degree,All,Wales,2014/15,46610
Total UK,Other years,First degree,All,Wales,2015/16,47535
Total UK,Other years,First degree,All,Wales,2016/17,48190
Total UK,Other years,First degree,All,Wales,2017/18,48140
Total UK,Other years,First degree,All,Wales,2018/19,48775
Total UK,Other years,First degree,Full-time,All,2014/15,734425
Total UK,Other years,First degree,Full-time,All,2015/16,761720
Total UK,Other years,First degree,Full-time,All,2016/17,787010
Total UK,Other years,First degree,Full-time,All,2017/18,805490
Total UK,Other years,First degree,Full-time,All,2018/19,813385
Total UK,Other years,First degree,Full-time,England,2014/15,595745
Total UK,Other years,First degree,Full-time,England,2015/16,618085
Total UK,Other years,First degree,Full-time,England,2016/17,641890
Total UK,Other years,First degree,Full-time,England,2017/18,659295
Total UK,Other years,First degree,Full-time,England,2018/19,666090
Total UK,Other years,First degree,Full-time,Northern Ireland,2014/15,20325
Total UK,Other years,First degree,Full-time,Northern Ireland,2015/16,21370
Total UK,Other years,First degree,Full-time,Northern Ireland,2016/17,20775
Total UK,Other years,First degree,Full-time,Northern Ireland,2017/18,20475
Total UK,Other years,First degree,Full-time,Northern Ireland,2018/19,20340
Total UK,Other years,First degree,Full-time,Scotland,2014/15,77910
Total UK,Other years,First degree,Full-time,Scotland,2015/16,80420
