Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
England,First year,Postgraduate (research),Full-time,England,2017/18,11985
England,First year,Postgraduate (research),Full-time,England,2018/19,12535
England,First year,Postgraduate (research),Full-time,Northern Ireland,2014/15,45
England,First year,Postgraduate (research),Full-time,Northern Ireland,2015/16,35
England,First year,Postgraduate (research),Full-time,Northern Ireland,2016/17,40
England,First year,Postgraduate (research),Full-time,Northern Ireland,2017/18,40
England,First year,Postgraduate (research),Full-time,Northern Ireland,2018/19,30
England,First year,Postgraduate (research),Full-time,Scotland,2014/15,445
England,First year,Postgraduate (research),Full-time,Scotland,2015/16,495
England,First year,Postgraduate (research),Full-time,Scotland,2016/17,480
England,First year,Postgraduate (research),Full-time,Scotland,2017/18,510
England,First year,Postgraduate (research),Full-time,Scotland,2018/19,575
England,First year,Postgraduate (research),Full-time,Wales,2014/15,250
England,First year,Postgraduate (research),Full-time,Wales,2015/16,315
England,First year,Postgraduate (research),Full-time,Wales,2016/17,350
England,First year,Postgraduate (research),Full-time,Wales,2017/18,325
England,First year,Postgraduate (research),Full-time,Wales,2018/19,350
England,First year,Postgraduate (research),Part-time,England,2014/15,4450
England,First year,Postgraduate (research),Part-time,England,2015/16,4430
England,First year,Postgraduate (research),Part-time,England,2016/17,4230
England,First year,Postgraduate (research),Part-time,England,2017/18,4190
England,First year,Postgraduate (research),Part-time,England,2018/19,4410
England,First year,Postgraduate (research),Part-time,Northern Ireland,2014/15,0
England,First year,Postgraduate (research),Part-time,Northern Ireland,2015/16,5
England,First year,Postgraduate (research),Part-time,Northern Ireland,2016/17,0
England,First year,Postgraduate (research),Part-time,Northern Ireland,2017/18,5
England,First year,Postgraduate (research),Part-time,Northern Ireland,2018/19,5
England,First year,Postgraduate (research),Part-time,Scotland,2014/15,65
England,First year,Postgraduate (research),Part-time,Scotland,2015/16,65
England,First year,Postgraduate (research),Part-time,Scotland,2016/17,70
England,First year,Postgraduate (research),Part-time,Scotland,2017/18,90
England,First year,Postgraduate (research),Part-time,Scotland,2018/19,80
England,First year,Postgraduate (research),Part-time,Wales,2014/15,40
England,First year,Postgraduate (research),Part-time,Wales,2015/16,55
England,First year,Postgraduate (research),Part-time,Wales,2016/17,75
England,First year,Postgraduate (research),Part-time,Wales,2017/18,70
England,First year,Postgraduate (research),Part-time,Wales,2018/19,70
England,Other years,Postgraduate (research),Full-time,England,2014/15,20205
England,Other years,Postgraduate (research),Full-time,England,2015/16,20345
England,Other years,Postgraduate (research),Full-time,England,2016/17,20905
England,Other years,Postgraduate (research),Full-time,England,2017/18,20740
England,Other years,Postgraduate (research),Full-time,England,2018/19,21155
England,Other years,Postgraduate (research),Full-time,Northern Ireland,2014/15,60
England,Other years,Postgraduate (research),Full-time,Northern Ireland,2015/16,85
England,Other years,Postgraduate (research),Full-time,Northern Ireland,2016/17,80
England,Other years,Postgraduate (research),Full-time,Northern Ireland,2017/18,90
England,Other years,Postgraduate (research),Full-time,Northern Ireland,2018/19,85
England,Other years,Postgraduate (research),Full-time,Scotland,2014/15,805
England,Other years,Postgraduate (research),Full-time,Scotland,2015/16,885
England,Other years,Postgraduate (research),Full-time,Scotland,2016/17,925
England,Other years,Postgraduate (research),Full-time,Scotland,2017/18,950
England,Other years,Postgraduate (research),Full-time,Scotland,2018/19,950
England,Other years,Postgraduate (research),Full-time,Wales,2014/15,420
England,Other years,Postgraduate (research),Full-time,Wales,2015/16,425
England,Other years,Postgraduate (research),Full-time,Wales,2016/17,500
England,Other years,Postgraduate (research),Full-time,Wales,2017/18,495
England,Other years,Postgraduate (research),Full-time,Wales,2018/19,515
England,Other years,Postgraduate (research),Part-time,England,2014/15,15045
England,Other years,Postgraduate (research),Part-time,England,2015/16,14695
England,Other years,Postgraduate (research),Part-time,England,2016/17,14705
England,Other years,Postgraduate (research),Part-time,England,2017/18,14520
England,Other years,Postgraduate (research),Part-time,England,2018/19,14365
England,Other years,Postgraduate (research),Part-time,Northern Ireland,2014/15,15
England,Other years,Postgraduate (research),Part-time,Northern Ireland,2015/16,15
England,Other years,Postgraduate (research),Part-time,Northern Ireland,2016/17,15
England,Other years,Postgraduate (research),Part-time,Northern Ireland,2017/18,20
England,Other years,Postgraduate (research),Part-time,Northern Ireland,2018/19,15
England,Other years,Postgraduate (research),Part-time,Scotland,2014/15,175
England,Other years,Postgraduate (research),Part-time,Scotland,2015/16,180
England,Other years,Postgraduate (research),Part-time,Scotland,2016/17,195
England,Other years,Postgraduate (research),Part-time,Scotland,2017/18,210
England,Other years,Postgraduate (research),Part-time,Scotland,2018/19,250
England,Other years,Postgraduate (research),Part-time,Wales,2014/15,190
England,Other years,Postgraduate (research),Part-time,Wales,2015/16,165
England,Other years,Postgraduate (research),Part-time,Wales,2016/17,165
England,Other years,Postgraduate (research),Part-time,Wales,2017/18,180
England,Other years,Postgraduate (research),Part-time,Wales,2018/19,180
England,All,Postgraduate (research),Full-time,England,2014/15,31690
England,All,Postgraduate (research),Full-time,England,2015/16,31885
England,All,Postgraduate (research),Full-time,England,2016/17,32495
England,All,Postgraduate (research),Full-time,England,2017/18,32730
England,All,Postgraduate (research),Full-time,England,2018/19,33695
England,All,Postgraduate (research),Full-time,Northern Ireland,2014/15,110
England,All,Postgraduate (research),Full-time,Northern Ireland,2015/16,120
England,All,Postgraduate (research),Full-time,Northern Ireland,2016/17,120
England,All,Postgraduate (research),Full-time,Northern Ireland,2017/18,135
England,All,Postgraduate (research),Full-time,Northern Ireland,2018/19,115
England,All,Postgraduate (research),Full-time,Scotland,2014/15,1250
England,All,Postgraduate (research),Full-time,Scotland,2015/16,1380
England,All,Postgraduate (research),Full-time,Scotland,2016/17,1405
England,All,Postgraduate (research),Full-time,Scotland,2017/18,1460
England,All,Postgraduate (research),Full-time,Scotland,2018/19,1525
England,All,Postgraduate (research),Full-time,Wales,2014/15,670
England,All,Postgraduate (research),Full-time,Wales,2015/16,740
England,All,Postgraduate (research),Full-time,Wales,2016/17,850
England,All,Postgraduate (research),Full-time,Wales,2017/18,820
England,All,Postgraduate (research),Full-time,Wales,2018/19,870
England,All,Postgraduate (research),Part-time,England,2014/15,19495
England,All,Postgraduate (research),Part-time,England,2015/16,19125
England,All,Postgraduate (research),Part-time,England,2016/17,18935
England,All,Postgraduate (research),Part-time,England,2017/18,18710
England,All,Postgraduate (research),Part-time,England,2018/19,18770
England,All,Postgraduate (research),Part-time,Northern Ireland,2014/15,15
England,All,Postgraduate (research),Part-time,Northern Ireland,2015/16,20
England,All,Postgraduate (research),Part-time,Northern Ireland,2016/17,20
England,All,Postgraduate (research),Part-time,Northern Ireland,2017/18,25
England,All,Postgraduate (research),Part-time,Northern Ireland,2018/19,20
England,All,Postgraduate (research),Part-time,Scotland,2014/15,235
England,All,Postgraduate (research),Part-time,Scotland,2015/16,245
England,All,Postgraduate (research),Part-time,Scotland,2016/17,265
England,All,Postgraduate (research),Part-time,Scotland,2017/18,300
England,All,Postgraduate (research),Part-time,Scotland,2018/19,330
England,All,Postgraduate (research),Part-time,Wales,2014/15,230
England,All,Postgraduate (research),Part-time,Wales,2015/16,220
England,All,Postgraduate (research),Part-time,Wales,2016/17,235
England,All,Postgraduate (research),Part-time,Wales,2017/18,250
England,All,Postgraduate (research),Part-time,Wales,2018/19,250
England,All,Postgraduate (research),All,England,2014/15,51185
England,All,Postgraduate (research),All,England,2015/16,51015
England,All,Postgraduate (research),All,England,2016/17,51430
England,All,Postgraduate (research),All,England,2017/18,51440
England,All,Postgraduate (research),All,England,2018/19,52465
England,All,Postgraduate (research),All,Northern Ireland,2014/15,125
